페이지,테마,일본어 단어,요미가나,단어 뜻,단어[요미가나],참고
JLPT_N3_암기장::14p,[발음이 같거나 비슷한 한자를 포함하는 단어],友情,ゆうじょう,우정,友情[ゆうじょう],
JLPT_N3_암기장::14p,[발음이 같거나 비슷한 한자를 포함하는 단어],乗客,じょうきゃく,승객,乗客[じょうきゃく],
JLPT_N3_암기장::14p,[발음이 같거나 비슷한 한자를 포함하는 단어],乗車,じょうしゃ,승차,乗車[じょうしゃ],
JLPT_N3_암기장::14p,[발음이 같거나 비슷한 한자를 포함하는 단어],心配,しんぱい,걱정,心配[しんぱい],
JLPT_N3_암기장::14p,[발음이 같거나 비슷한 한자를 포함하는 단어],熱心,ねっしん,열심,熱心[ねっしん],
JLPT_N3_암기장::14p,[발음이 같거나 비슷한 한자를 포함하는 단어],進学,しんがく,진학,進学[しんがく],
JLPT_N3_암기장::14p,[발음이 같거나 비슷한 한자를 포함하는 단어],進歩,しんぽ,진보,進歩[しんぽ],
JLPT_N3_암기장::14p,[발음이 같거나 비슷한 한자를 포함하는 단어],改正,かいせい,개정,改正[かいせい],
JLPT_N3_암기장::14p,[발음이 같거나 비슷한 한자를 포함하는 단어],修正,しゅうせい,수정,修正[しゅうせい],
JLPT_N3_암기장::14p,[발음이 같거나 비슷한 한자를 포함하는 단어],成功,せいこう,성공,成功[せいこう],
JLPT_N3_암기장::14p,[발음이 같거나 비슷한 한자를 포함하는 단어],成長,せいちょう,성장,成長[せいちょう],
JLPT_N3_암기장::14p,[발음이 같거나 비슷한 한자를 포함하는 단어],専攻,せんこう,전공,専攻[せんこう],
JLPT_N3_암기장::15p,[발음이 같거나 비슷한 한자를 포함하는 단어],専門家,せんもんか,전문가,専門家[せんもんか],
JLPT_N3_암기장::15p,[발음이 같거나 비슷한 한자를 포함하는 단어],先輩,せんぱい,선배,先輩[せんぱい],
JLPT_N3_암기장::15p,[발음이 같거나 비슷한 한자를 포함하는 단어],直線,ちょくせん,직선,直線[ちょくせん],
JLPT_N3_암기장::15p,[발음이 같거나 비슷한 한자를 포함하는 단어],相談,そうだん,상담,相談[そうだん],
JLPT_N3_암기장::15p,[발음이 같거나 비슷한 한자를 포함하는 단어],首相,しゅしょう,수상,首相[しゅしょう],
JLPT_N3_암기장::15p,[발음이 같거나 비슷한 한자를 포함하는 단어],感想,かんそう,감상,感想[かんそう],
JLPT_N3_암기장::15p,[발음이 같거나 비슷한 한자를 포함하는 단어],想像,そうぞう,상상,想像[そうぞう],
JLPT_N3_암기장::15p,[발음이 같거나 비슷한 한자를 포함하는 단어],接続,せつぞく,접속,接続[せつぞく],
JLPT_N3_암기장::15p,[발음이 같거나 비슷한 한자를 포함하는 단어],連続,れんぞく,연속,連続[れんぞく],
JLPT_N3_암기장::15p,[발음이 같거나 비슷한 한자를 포함하는 단어],不足,ふそく,부족,不足[ふそく],
JLPT_N3_암기장::15p,[발음이 같거나 비슷한 한자를 포함하는 단어],満足,まんぞく,만족,満足[まんぞく],
JLPT_N3_암기장::15p,[발음이 같거나 비슷한 한자를 포함하는 단어],欠点,けってん,결점,欠点[けってん],
JLPT_N3_암기장::15p,[발음이 같거나 비슷한 한자를 포함하는 단어],点数,てんすう,점수,点数[てんすう],
JLPT_N3_암기장::15p,[발음이 같거나 비슷한 한자를 포함하는 단어],伝説,でんせつ,전설,伝説[でんせつ],
JLPT_N3_암기장::15p,[발음이 같거나 비슷한 한자를 포함하는 단어],伝統,でんとう,전통,伝統[でんとう],
JLPT_N3_암기장::15p,[발음이 같거나 비슷한 한자를 포함하는 단어],都市,とし,도시,都市[とし],
JLPT_N3_암기장::15p,[발음이 같거나 비슷한 한자를 포함하는 단어],都心,としん,도심,都心[としん],
JLPT_N3_암기장::15p,[발음이 같거나 비슷한 한자를 포함하는 단어],鉄道,てつどう,철도,鉄道[てつどう],
JLPT_N3_암기장::15p,[발음이 같거나 비슷한 한자를 포함하는 단어],道路,どうろ,도로,道路[どうろ],
JLPT_N3_암기장::15p,[발음이 같거나 비슷한 한자를 포함하는 단어],違反,いはん,위반,違反[いはん],
JLPT_N3_암기장::15p,[발음이 같거나 비슷한 한자를 포함하는 단어],反対,はんたい,반대,反対[はんたい],
JLPT_N3_암기장::15p,[발음이 같거나 비슷한 한자를 포함하는 단어],犯罪,はんざい,범죄,犯罪[はんざい],
JLPT_N3_암기장::15p,[발음이 같거나 비슷한 한자를 포함하는 단어],防犯,ぼうはん,방범,防犯[ぼうはん],
JLPT_N3_암기장::15p,[발음이 같거나 비슷한 한자를 포함하는 단어],逮捕,たいほ,체포,逮捕[たいほ],
JLPT_N3_암기장::15p,[발음이 같거나 비슷한 한자를 포함하는 단어],捕獲,ほかく,포획,捕獲[ほかく],
JLPT_N3_암기장::15p,[발음이 같거나 비슷한 한자를 포함하는 단어],情報,じょうほう,정보,情報[じょうほう],
JLPT_N3_암기장::15p,[발음이 같거나 비슷한 한자를 포함하는 단어],予報,よほう,예보,予報[よほう],
JLPT_N3_암기장::15p,[발음이 같거나 비슷한 한자를 포함하는 단어],容易だ,よういだ,용이하다,容易だ[よういだ],
JLPT_N3_암기장::15p,[발음이 같거나 비슷한 한자를 포함하는 단어],容器,ようき,용기,容器[ようき],
JLPT_N3_암기장::15p,[발음이 같거나 비슷한 한자를 포함하는 단어],応用,おうよう,응용,応用[おうよう],
JLPT_N3_암기장::15p,[발음이 같거나 비슷한 한자를 포함하는 단어],活用,かつよう,활용,活用[かつよう],
JLPT_N3_암기장::15p,[발음이 같거나 비슷한 한자를 포함하는 단어],規律,きりつ,규율,規律[きりつ],
JLPT_N3_암기장::15p,[발음이 같거나 비슷한 한자를 포함하는 단어],法律,ほうりつ,법률,法律[ほうりつ],
JLPT_N3_암기장::15p,[발음이 같거나 비슷한 한자를 포함하는 단어],公立,こうりつ,공립,公立[こうりつ],
JLPT_N3_암기장::15p,[발음이 같거나 비슷한 한자를 포함하는 단어],国立,こくりつ,국립,国立[こくりつ],
JLPT_N3_암기장::15p,[발음이 같거나 비슷한 한자를 포함하는 단어],給料,きゅうりょう,급료,給料[きゅうりょう],
JLPT_N3_암기장::15p,[발음이 같거나 비슷한 한자를 포함하는 단어],材料,ざいりょう,재료,材料[ざいりょう],
JLPT_N3_암기장::15p,[발음이 같거나 비슷한 한자를 포함하는 단어],大量,たいりょう,대량,大量[たいりょう],
JLPT_N3_암기장::15p,[발음이 같거나 비슷한 한자를 포함하는 단어],分量,ぶんりょう,분량,分量[ぶんりょう],
JLPT_N3_암기장::15p,[발음이 같거나 비슷한 한자를 포함하는 단어],高齢者,こうれいしゃ,고령자,高齢者[こうれいしゃ],
JLPT_N3_암기장::15p,[발음이 같거나 비슷한 한자를 포함하는 단어],年齢,ねんれい,연령,年齢[ねんれい],
JLPT_N3_암기장::15p,[발음이 같거나 비슷한 한자를 포함하는 단어],冷蔵庫,れいぞうこ,냉장고,冷蔵庫[れいぞうこ],
JLPT_N3_암기장::15p,[발음이 같거나 비슷한 한자를 포함하는 단어],冷凍,れいとう,냉동,冷凍[れいとう],
JLPT_N3_암기장::15p,[모양이 비슷한 한자를 포함하는 단어],痛い,いたい,아프다,痛い[いたい],
JLPT_N3_암기장::15p,[모양이 비슷한 한자를 포함하는 단어],苦痛,くつう,고통,苦痛[くつう],
JLPT_N3_암기장::15p,[모양이 비슷한 한자를 포함하는 단어],疲れ,つかれ,피로,疲れ[つかれ],
JLPT_N3_암기장::15p,[모양이 비슷한 한자를 포함하는 단어],疲れる,つかれる,지치다,疲れる[つかれる],
JLPT_N3_암기장::15p,[모양이 비슷한 한자를 포함하는 단어],案内,あんあい,안내,案内[あんあい],
JLPT_N3_암기장::16p,[모양이 비슷한 한자를 포함하는 단어],提案,ていあん,제안,提案[ていあん],
JLPT_N3_암기장::16p,[모양이 비슷한 한자를 포함하는 단어],家具,かぐ,가구,家具[かぐ],
JLPT_N3_암기장::16p,[모양이 비슷한 한자를 포함하는 단어],家内,かない,아내,家内[かない],
JLPT_N3_암기장::16p,[모양이 비슷한 한자를 포함하는 단어],健康,けんこう,건강,健康[けんこう],
JLPT_N3_암기장::16p,[모양이 비슷한 한자를 포함하는 단어],保健,ほけん,보건,保健[ほけん],
JLPT_N3_암기장::16p,[모양이 비슷한 한자를 포함하는 단어],建設,けんせつ,건설,建設[けんせつ],
JLPT_N3_암기장::16p,[모양이 비슷한 한자를 포함하는 단어],建てる,たてる,세우다,建てる[たてる],
JLPT_N3_암기장::16p,[모양이 비슷한 한자를 포함하는 단어],温める,あたためる,데우다,温める[あたためる],
JLPT_N3_암기장::16p,[모양이 비슷한 한자를 포함하는 단어],気温,きおん,기온,気温[きおん],
JLPT_N3_암기장::16p,[모양이 비슷한 한자를 포함하는 단어],混む,こむ,붐비다,混む[こむ],
JLPT_N3_암기장::16p,[모양이 비슷한 한자를 포함하는 단어],混雑,こんざつ,혼잡,混雑[こんざつ],
JLPT_N3_암기장::16p,[모양이 비슷한 한자를 포함하는 단어],組合,くみあい,조합,組合[くみあい],
JLPT_N3_암기장::16p,[모양이 비슷한 한자를 포함하는 단어],組む,くむ,"짜다, 끼다",組む[くむ],
JLPT_N3_암기장::16p,[모양이 비슷한 한자를 포함하는 단어],結論,けつろん,결론,結論[けつろん],
JLPT_N3_암기장::16p,[모양이 비슷한 한자를 포함하는 단어],結ぶ,むすぶ,묶다,結ぶ[むすぶ],
JLPT_N3_암기장::16p,[모양이 비슷한 한자를 포함하는 단어],経由,けいゆ,경유,経由[けいゆ],
JLPT_N3_암기장::16p,[모양이 비슷한 한자를 포함하는 단어],経,けい,경과하다,経[けい],
JLPT_N3_암기장::16p,[모양이 비슷한 한자를 포함하는 단어],続き,つづき,다음,続き[つづき],
JLPT_N3_암기장::16p,[모양이 비슷한 한자를 포함하는 단어],手続き,てつづき,"수속, 절차",手続き[てつづき],
JLPT_N3_암기장::16p,[모양이 비슷한 한자를 포함하는 단어],検査,けんさ,검사,検査[けんさ],
JLPT_N3_암기장::16p,[모양이 비슷한 한자를 포함하는 단어],検討,けんとう,검토,検討[けんとう],
JLPT_N3_암기장::16p,[모양이 비슷한 한자를 포함하는 단어],危険,きけん,위험,危険[きけん],
JLPT_N3_암기장::16p,[모양이 비슷한 한자를 포함하는 단어],危ない,あぶない,위험하다,危ない[あぶない],
JLPT_N3_암기장::16p,[모양이 비슷한 한자를 포함하는 단어],存在,そんざい,존재,存在[そんざい],
JLPT_N3_암기장::16p,[모양이 비슷한 한자를 포함하는 단어],保存,ほぞん,보존,保存[ほぞん],
JLPT_N3_암기장::16p,[모양이 비슷한 한자를 포함하는 단어],現在,げんざい,현재,現在[げんざい],
JLPT_N3_암기장::16p,[모양이 비슷한 한자를 포함하는 단어],体重,たいじゅう,"체중, 체류",体重[たいじゅう],
JLPT_N3_암기장::16p,[모양이 비슷한 한자를 포함하는 단어],復活,ふっかつ,부활,復活[ふっかつ],
JLPT_N3_암기장::16p,[모양이 비슷한 한자를 포함하는 단어],復習,ふくしゅう,복습,復習[ふくしゅう],
JLPT_N3_암기장::16p,[모양이 비슷한 한자를 포함하는 단어],往復,おうふく,왕복,往復[おうふく],
JLPT_N3_암기장::16p,[모양이 비슷한 한자를 포함하는 단어],回復,かいふく,회복,回復[かいふく],
JLPT_N3_암기장::16p,[모양이 비슷한 한자를 포함하는 단어],制服,せいふく,제복,制服[せいふく],
JLPT_N3_암기장::16p,[모양이 비슷한 한자를 포함하는 단어],服装,ふくそう,복장,服装[ふくそう],
JLPT_N3_암기장::16p,[모양이 비슷한 한자를 포함하는 단어],情報,じょうほう,정보,情報[じょうほう],
JLPT_N3_암기장::16p,[모양이 비슷한 한자를 포함하는 단어],報告,ほうこく,보고,報告[ほうこく],
JLPT_N3_암기장::16p,[모양이 비슷한 한자를 포함하는 단어],業績,ぎょうせき,업적,業績[ぎょうせき],
JLPT_N3_암기장::16p,[모양이 비슷한 한자를 포함하는 단어],成績,せいせき,성적,成績[せいせき],
JLPT_N3_암기장::16p,[모양이 비슷한 한자를 포함하는 단어],積極的だ,せっきょくてきだ,적극적이다,積極的だ[せっきょくてきだ],
JLPT_N3_암기장::16p,[모양이 비슷한 한자를 포함하는 단어],積もる,つもる,쌓이다,積もる[つもる],
JLPT_N3_암기장::16p,[모양이 비슷한 한자를 포함하는 단어],原因,げんいん,원인,原因[げんいん],
JLPT_N3_암기장::16p,[모양이 비슷한 한자를 포함하는 단어],原料,げんりょう,원료,原料[げんりょう],
JLPT_N3_암기장::16p,[모양이 비슷한 한자를 포함하는 단어],資源,しげん,자원,資源[しげん],
JLPT_N3_암기장::16p,[모양이 비슷한 한자를 포함하는 단어],電源,でんげん,전원,電源[でんげん],
JLPT_N3_암기장::16p,[모양이 비슷한 한자를 포함하는 단어],比べる,くらべる,비교하다,比べる[くらべる],
JLPT_N3_암기장::16p,[모양이 비슷한 한자를 포함하는 단어],比較,ひかく,비교,比較[ひかく],
JLPT_N3_암기장::16p,[모양이 비슷한 한자를 포함하는 단어],批判,ひはん,비판,批判[ひはん],
JLPT_N3_암기장::16p,[모양이 비슷한 한자를 포함하는 단어],批評,ひひょう,비평,批評[ひひょう],
JLPT_N3_암기장::16p,[모양이 비슷한 한자를 포함하는 단어],注ぐ,そそぐ,쏟다,注ぐ[そそぐ],
JLPT_N3_암기장::16p,[모양이 비슷한 한자를 포함하는 단어],注射,ちゅうしゃ,주사,注射[ちゅうしゃ],
JLPT_N3_암기장::16p,[모양이 비슷한 한자를 포함하는 단어],泣き声,なきごえ,울음소리,泣き声[なきごえ],
JLPT_N3_암기장::17p,[모양이 비슷한 한자를 포함하는 단어],泣く,なく,울다,泣く[なく],
JLPT_N3_암기장::17p,[모양이 비슷한 한자를 포함하는 단어],身長,しんちょう,신장,身長[しんちょう],
JLPT_N3_암기장::17p,[모양이 비슷한 한자를 포함하는 단어],変身,へんしん,변신,変身[へんしん],
JLPT_N3_암기장::17p,[모양이 비슷한 한자를 포함하는 단어],発射,はっしゃ,발사,発射[はっしゃ],
JLPT_N3_암기장::17p,[모양이 비슷한 한자를 포함하는 단어],反射,はんしゃ,반사,反射[はんしゃ],
JLPT_N3_암기장::17p,[모양이 비슷한 한자를 포함하는 단어],倍,ばい,"~배, 배수",倍[ばい],
JLPT_N3_암기장::17p,[모양이 비슷한 한자를 포함하는 단어],倍率,ばいりつ,배율,倍率[ばいりつ],
JLPT_N3_암기장::17p,[모양이 비슷한 한자를 포함하는 단어],内部,ないぶ,내부,内部[ないぶ],
JLPT_N3_암기장::17p,[모양이 비슷한 한자를 포함하는 단어],部,ぶ,부,部[ぶ],
JLPT_N3_암기장::17p,[모양이 비슷한 한자를 포함하는 단어],暮らす,くらす,살다,暮らす[くらす],
JLPT_N3_암기장::17p,[모양이 비슷한 한자를 포함하는 단어],暮れ,くれ,해질녘,暮れ[くれ],
JLPT_N3_암기장::17p,[모양이 비슷한 한자를 포함하는 단어],応募,おうぼ,응모,応募[おうぼ],
JLPT_N3_암기장::17p,[모양이 비슷한 한자를 포함하는 단어],募集,ぼしゅう,모집,募集[ぼしゅう],
JLPT_N3_암기장::17p,[모양이 비슷한 한자를 포함하는 단어],内側,うちがわ,안쪽,内側[うちがわ],
JLPT_N3_암기장::17p,[모양이 비슷한 한자를 포함하는 단어],両側,りょうがわ,양쪽,両側[りょうがわ],
JLPT_N3_암기장::17p,[모양이 비슷한 한자를 포함하는 단어],観測,かんそく,관측,観測[かんそく],
JLPT_N3_암기장::17p,[모양이 비슷한 한자를 포함하는 단어],測る,はかる,재다,測る[はかる],
JLPT_N3_암기장::17p,[모양이 비슷한 한자를 포함하는 단어],かき氷,かきごおり,빙수,かき氷[かきごおり],
JLPT_N3_암기장::17p,[모양이 비슷한 한자를 포함하는 단어],氷,こおり,얼음,氷[こおり],
JLPT_N3_암기장::17p,[모양이 비슷한 한자를 포함하는 단어],泳ぐ,およぐ,헤엄치다,泳ぐ[およぐ],
JLPT_N3_암기장::17p,[모양이 비슷한 한자를 포함하는 단어],水泳,すいえい,수영,水泳[すいえい],
JLPT_N3_암기장::17p,[모양이 비슷한 한자를 포함하는 단어],記録,きろく,기록,記録[きろく],
JLPT_N3_암기장::17p,[모양이 비슷한 한자를 포함하는 단어],登録,とうろく,등록,登録[とうろく],
JLPT_N3_암기장::17p,[모양이 비슷한 한자를 포함하는 단어],緑,みどり,초록,緑[みどり],
JLPT_N3_암기장::17p,[모양이 비슷한 한자를 포함하는 단어],緑茶,りょくちゃ,녹차,緑茶[りょくちゃ],
JLPT_N3_암기장::17p,[모양이 비슷한 한자를 포함하는 단어],詳しい,くわしい,자세하다,詳しい[くわしい],
JLPT_N3_암기장::17p,[모양이 비슷한 한자를 포함하는 단어],詳細,しょうさい,상세,詳細[しょうさい],
JLPT_N3_암기장::17p,[모양이 비슷한 한자를 포함하는 단어],通訳,つうやく,통역,通訳[つうやく],
JLPT_N3_암기장::17p,[모양이 비슷한 한자를 포함하는 단어],訳す,やくす,번역하다,訳す[やくす],
JLPT_N3_암기장::17p,[모양이 비슷한 한자를 포함하는 단어],解説,かいせつ,해설,解説[かいせつ],
JLPT_N3_암기장::17p,[모양이 비슷한 한자를 포함하는 단어],説明,せつめい,설명,説明[せつめい],
JLPT_N3_암기장::17p,[모양이 비슷한 한자를 포함하는 단어],寄付,きふ,기부,寄付[きふ],
JLPT_N3_암기장::17p,[모양이 비슷한 한자를 포함하는 단어],寄る,よる,다가가다,寄る[よる],
JLPT_N3_암기장::17p,[모양이 비슷한 한자를 포함하는 단어],宿泊,しゅくはく,숙박,宿泊[しゅくはく],
JLPT_N3_암기장::17p,[모양이 비슷한 한자를 포함하는 단어],宿る,やどる,"머물다, 묵다",宿る[やどる],
JLPT_N3_암기장::17p,[모양이 비슷한 한자를 포함하는 단어],輸出,ゆしゅつ,수출,輸出[ゆしゅつ],
JLPT_N3_암기장::17p,[모양이 비슷한 한자를 포함하는 단어],輸入,ゆにゅう,수입,輸入[ゆにゅう],
JLPT_N3_암기장::17p,[모양이 비슷한 한자를 포함하는 단어],議論,ぎろん,의논,議論[ぎろん],
JLPT_N3_암기장::17p,[모양이 비슷한 한자를 포함하는 단어],評論,ひょうろん,평론,評論[ひょうろん],
JLPT_N3_암기장::17p,[모양이 비슷한 한자를 포함하는 단어],消す,けす,"끄다, 지우다",消す[けす],
JLPT_N3_암기장::17p,[모양이 비슷한 한자를 포함하는 단어],消費,しょうひ,소비,消費[しょうひ],
JLPT_N3_암기장::17p,[모양이 비슷한 한자를 포함하는 단어],削る,けずる,깎다,削る[けずる],
JLPT_N3_암기장::17p,[모양이 비슷한 한자를 포함하는 단어],削除,さくじょ,삭제,削除[さくじょ],
JLPT_N3_암기장::17p,[모양이 비슷한 한자를 포함하는 단어],現れる,あらわれる,나타나다,現れる[あらわれる],
JLPT_N3_암기장::17p,[모양이 비슷한 한자를 포함하는 단어],現実,げんじつ,현실,現実[げんじつ],
JLPT_N3_암기장::17p,[모양이 비슷한 한자를 포함하는 단어],視力,しりょく,시력,視力[しりょく],
JLPT_N3_암기장::17p,[모양이 비슷한 한자를 포함하는 단어],無視,むし,무시,無視[むし],
JLPT_N3_암기장::17p,[모양이 비슷한 한자를 포함하는 단어],逃走,とうそう,도주,逃走[とうそう],
JLPT_N3_암기장::17p,[모양이 비슷한 한자를 포함하는 단어],逃げる,にげる,도망치다,逃げる[にげる],
JLPT_N3_암기장::17p,[모양이 비슷한 한자를 포함하는 단어],追い越す,おいこす,앞지르다,追い越す[おいこす],
JLPT_N3_암기장::18p,[모양이 비슷한 한자를 포함하는 단어],追う,おう,"좇다, 따르다",追う[おう],
JLPT_N3_암기장::18p,[모양이 비슷한 한자를 포함하는 단어],共通,きょうつう,공통,共通[きょうつう],
JLPT_N3_암기장::18p,[모양이 비슷한 한자를 포함하는 단어],通勤,つうきん,통근,通勤[つうきん],
JLPT_N3_암기장::18p,[모양이 비슷한 한자를 포함하는 단어],血液,けつえき,혈액,血液[けつえき],
JLPT_N3_암기장::18p,[모양이 비슷한 한자를 포함하는 단어],血,ち,피,血[ち],
JLPT_N3_암기장::18p,[모양이 비슷한 한자를 포함하는 단어],皿,さら,접시,皿[さら],
JLPT_N3_암기장::18p,[모양이 비슷한 한자를 포함하는 단어],灰皿,はいざら,재떨이,灰皿[はいざら],
JLPT_N3_암기장::18p,[모양이 비슷한 한자를 포함하는 단어],投資,とうし,투자,投資[とうし],
JLPT_N3_암기장::18p,[모양이 비슷한 한자를 포함하는 단어],投げる,なげる,던지다,投げる[なげる],
JLPT_N3_암기장::18p,[모양이 비슷한 한자를 포함하는 단어],役立つ,やくだつ,도움이 되다,役立つ[やくだつ],
JLPT_N3_암기장::18p,[모양이 비슷한 한자를 포함하는 단어],役割,やくわり,역할,役割[やくわり],
JLPT_N3_암기장::18p,[모양이 비슷한 한자를 포함하는 단어],依頼,いらい,의뢰,依頼[いらい],
JLPT_N3_암기장::18p,[모양이 비슷한 한자를 포함하는 단어],頼む,たのむ,부탁하다,頼む[たのむ],
JLPT_N3_암기장::18p,[모양이 비슷한 한자를 포함하는 단어],預ける,あずける,맡기다,預ける[あずける],
JLPT_N3_암기장::18p,[모양이 비슷한 한자를 포함하는 단어],預金,よきん,예금,預金[よきん],
JLPT_N3_암기장::18p,[모양이 비슷한 한자를 포함하는 단어],範囲,はんい,범위,範囲[はんい],
JLPT_N3_암기장::18p,[모양이 비슷한 한자를 포함하는 단어],雰囲気,ふんいき,분위기,雰囲気[ふんいき],
JLPT_N3_암기장::18p,[모양이 비슷한 한자를 포함하는 단어],困る,こまる,곤란하다,困る[こまる],
JLPT_N3_암기장::18p,[모양이 비슷한 한자를 포함하는 단어],困難,こんなん,곤란,困難[こんなん],
JLPT_N3_암기장::18p,[모양이 비슷한 한자를 포함하는 단어],貧困,ひんこん,빈곤,貧困[ひんこん],
JLPT_N3_암기장::18p,[모양이 비슷한 한자를 포함하는 단어],貧しい,まずしい,가난하다,貧しい[まずしい],
JLPT_N3_암기장::18p,[모양이 비슷한 한자를 포함하는 단어],性質,せいしつ,성질,性質[せいしつ],
JLPT_N3_암기장::18p,[모양이 비슷한 한자를 포함하는 단어],物質,ぶっしつ,물질,物質[ぶっしつ],
JLPT_N3_암기장::18p,[모양이 비슷한 한자를 포함하는 단어],睡眠,すいみん,수면,睡眠[すいみん],
JLPT_N3_암기장::18p,[모양이 비슷한 한자를 포함하는 단어],眠る,ねむる,자다,眠る[ねむる],
JLPT_N3_암기장::18p,[모양이 비슷한 한자를 포함하는 단어],眼科,がんか,안과,眼科[がんか],
JLPT_N3_암기장::18p,[모양이 비슷한 한자를 포함하는 단어],眼鏡,めがね,안경,眼鏡[めがね],
JLPT_N3_암기장::18p,[모양이 비슷한 한자를 포함하는 단어],寺院,じいん,"사원, 사찰",寺院[じいん],
JLPT_N3_암기장::18p,[모양이 비슷한 한자를 포함하는 단어],寺,てら,절,寺[てら],
JLPT_N3_암기장::18p,[모양이 비슷한 한자를 포함하는 단어],期待,きたい,기대,期待[きたい],
JLPT_N3_암기장::18p,[모양이 비슷한 한자를 포함하는 단어],待ち合わせ,まちあわせ,만나기로 함,待ち合わせ[まちあわせ],
JLPT_N3_암기장::18p,[의미가 같거나 비슷한 한자를 포함하는 단어],拡大,かくだい,확대,拡大[かくだい],
JLPT_N3_암기장::18p,[의미가 같거나 비슷한 한자를 포함하는 단어],大量,たいりょう,대량,大量[たいりょう],
JLPT_N3_암기장::18p,[의미가 같거나 비슷한 한자를 포함하는 단어],多様だ,たようだ,다양하다,多様だ[たようだ],
JLPT_N3_암기장::18p,[의미가 같거나 비슷한 한자를 포함하는 단어],多量,たりょう,다량,多量[たりょう],
JLPT_N3_암기장::18p,[의미가 같거나 비슷한 한자를 포함하는 단어],高速,こうそく,고속,高速[こうそく],
JLPT_N3_암기장::18p,[의미가 같거나 비슷한 한자를 포함하는 단어],速い,はやい,빠르다,速い[はやい],
JLPT_N3_암기장::18p,[의미가 같거나 비슷한 한자를 포함하는 단어],早速,さっそく,즉시,早速[さっそく],
JLPT_N3_암기장::18p,[의미가 같거나 비슷한 한자를 포함하는 단어],早い,はやい,이르다,早い[はやい],
JLPT_N3_암기장::18p,[의미가 같거나 비슷한 한자를 포함하는 단어],急ぐ,いそぐ,서두르다,急ぐ[いそぐ],
JLPT_N3_암기장::18p,[의미가 같거나 비슷한 한자를 포함하는 단어],急激だ,きゅうげきだ,급격하다,急激だ[きゅうげきだ],
JLPT_N3_암기장::18p,[의미가 같거나 비슷한 한자를 포함하는 단어],進学,しんがく,진학,進学[しんがく],
JLPT_N3_암기장::18p,[의미가 같거나 비슷한 한자를 포함하는 단어],進む,すすむ,나아가다,進む[すすむ],
JLPT_N3_암기장::18p,[의미가 같거나 비슷한 한자를 포함하는 단어],移動,いどう,이동,移動[いどう],
JLPT_N3_암기장::18p,[의미가 같거나 비슷한 한자를 포함하는 단어],移る,うつる,이동하다,移る[うつる],
JLPT_N3_암기장::18p,[의미가 같거나 비슷한 한자를 포함하는 단어],出勤,しゅっきん,출근,出勤[しゅっきん],
JLPT_N3_암기장::18p,[의미가 같거나 비슷한 한자를 포함하는 단어],勤める,つとめる,근무하다,勤める[つとめる],
JLPT_N3_암기장::18p,[의미가 같거나 비슷한 한자를 포함하는 단어],事務室,じむしつ,사무실,事務室[じむしつ],
JLPT_N3_암기장::19p,[의미가 같거나 비슷한 한자를 포함하는 단어],務める,つとめる,임무를 맡다,務める[つとめる],
JLPT_N3_암기장::19p,[의미가 같거나 비슷한 한자를 포함하는 단어],共働き,ともばたらき,맞벌이,共働き[ともばたらき],
JLPT_N3_암기장::19p,[의미가 같거나 비슷한 한자를 포함하는 단어],働く,はたらく,일하다,働く[はたらく],
JLPT_N3_암기장::19p,[의미가 같거나 비슷한 한자를 포함하는 단어],回数券,かいすうけん,회수권,回数券[かいすうけん],
JLPT_N3_암기장::19p,[의미가 같거나 비슷한 한자를 포함하는 단어],特急券,とっきゅうけん,특급권,特急券[とっきゅうけん],
JLPT_N3_암기장::19p,[의미가 같거나 비슷한 한자를 포함하는 단어],投票,とうひょう,투표,投票[とうひょう],
JLPT_N3_암기장::19p,[의미가 같거나 비슷한 한자를 포함하는 단어],目標,もくひょう,목표,目標[もくひょう],
JLPT_N3_암기장::19p,[의미가 같거나 비슷한 한자를 포함하는 단어],得意,とくい,특기,得意[とくい],
JLPT_N3_암기장::19p,[의미가 같거나 비슷한 한자를 포함하는 단어],詳細,しょうさい,상세,詳細[しょうさい],
JLPT_N3_암기장::19p,[의미가 같거나 비슷한 한자를 포함하는 단어],細い,ほそい,가늘다,細い[ほそい],
JLPT_N3_암기장::19p,[의미가 같거나 비슷한 한자를 포함하는 단어],浅い,あさい,얕다,浅い[あさい],
JLPT_N3_암기장::19p,[의미가 같거나 비슷한 한자를 포함하는 단어],浅海,せんかい,얕은 바다,浅海[せんかい],
JLPT_N3_암기장::19p,[의미가 같거나 비슷한 한자를 포함하는 단어],映る,うつる,비치다,映る[うつる],
JLPT_N3_암기장::19p,[의미가 같거나 비슷한 한자를 포함하는 단어],反映,はんえい,반영,反映[はんえい],
JLPT_N3_암기장::19p,[의미가 같거나 비슷한 한자를 포함하는 단어],写る,うつる,찍히다,写る[うつる],
JLPT_N3_암기장::19p,[의미가 같거나 비슷한 한자를 포함하는 단어],写真,しゃしん,사진,写真[しゃしん],
JLPT_N3_암기장::19p,[의미가 같거나 비슷한 한자를 포함하는 단어],独身,どくしん,독신,独身[どくしん],
JLPT_N3_암기장::19p,[의미가 같거나 비슷한 한자를 포함하는 단어],独特,どくとく,독특,独特[どくとく],
JLPT_N3_암기장::19p,[의미가 같거나 비슷한 한자를 포함하는 단어],単語,たんご,단어,単語[たんご],
JLPT_N3_암기장::19p,[의미가 같거나 비슷한 한자를 포함하는 단어],単身,たんしん,단신,単身[たんしん],
