페이지,픅징,문형,문형 뜻,예문,예문 뜻,예문 요미가나
JLPT_N3_암기장::65p,[여러 품사 뒤에 접속하는 문형],～というような,~와 같은,申し訳ないというような表情をされると、すぐに許してしまう。,"미안하다는 듯한 표정을 지으면, 바로 용서해 버린다。",申し訳[もうしわけ]ないというような表情[ひょうじょう]をされると、すぐに許[ゆる]してしまう。
JLPT_N3_암기장::65p,[여러 품사 뒤에 접속하는 문형],～というような,~와 같은,世の中に絶対というようなものはありません。,세상에 절대적인 것과 같은 것은 없습니다。,世の中[よのなか]に絶対[ぜったい]というようなものはありません。
JLPT_N3_암기장::65p,[여러 품사 뒤에 접속하는 문형],～といっても,~라고 해도,中国語ができるといっても、あいさつぐらいです。,"중국어를 할 수 있다고 해도, 인사 정도입니다。",中国語[ちゅうごくご]ができるといっても、あいさつぐらいです。
JLPT_N3_암기장::65p,[여러 품사 뒤에 접속하는 문형],～といっても,~라고 해도,兄は元気だといっても骨折していることにかわりない。,형이 건강하다고 해도 골절된 것은 변함없다。,兄[あに]は元気[げんき]だといっても骨折[こっせつ]していることにかわりない。
JLPT_N3_암기장::65p,[여러 품사 뒤에 접속하는 문형],～といっても,~라고 해도,水泳がうまいといっても、もっと上手な人はたくさんいます。,"수영을 잘한다고 해도, 더 잘하는 사람이 많습니다。",水泳[すいえい]がうまいといっても、もっと上手[じょうず]な人[ひと]はたくさんいます。
JLPT_N3_암기장::65p,[여러 품사 뒤에 접속하는 문형],～といっても,~라고 해도,いくらそれが最近の流行だといっても、決してまねはしたくない。,"아무리 그것이 최근 유행이라고 해도, 절대 따라 하고 싶지 않다。",いくらそれが最近[さいきん]の流行[りゅうこう]だといっても、決[けっ]してまねはしたくない。
JLPT_N3_암기장::65p,[여러 품사 뒤에 접속하는 문형],～としたら,~라고 하면,もし自分を色で表すとしたら、何色だと思う？,"만약 자신을 색으로 나타낸다고 하면, 어떤 색이라고 생각해?",もし自分[じぶん]を色[いろ]で表[あらわ]すとしたら、何色[なにいろ]だと思[おも]う？
JLPT_N3_암기장::65p,[여러 품사 뒤에 접속하는 문형],～としたら,~라고 하면,顔が真っ青だとしたら、すぐに家に帰って休む必要がある。,"얼굴이 창백하다면, 바로 집에 가서 쉬는 것이 필요하다。",顔[かお]が真[ま]っ青[あお]だとしたら、すぐに家[いえ]に帰[かえ]って休[やす]む必要[ひつよう]がある。
JLPT_N3_암기장::65p,[여러 품사 뒤에 접속하는 문형],～としたら,~라고 하면,犬がおとなしいとしたら、お店に連れて行ってもいいですか？,"강아지가 얌전하다면, 가게에 데리고 가도 괜찮습니까?",犬[いぬ]がおとなしいとしたら、お店[みせ]に連[つ]れて行[い]ってもいいですか？
JLPT_N3_암기장::65p,[여러 품사 뒤에 접속하는 문형],～としたら,~라고 하면,その話が誤解だとしたら、はやく本当のことを伝えるべきです。,"그 이야기가 오해라면, 빨리 진실을 전달해야 합니다。",その話[はなし]が誤解[ごかい]だとしたら、はやく本当[ほんとう]のことを伝[つた]えるべきです。
JLPT_N3_암기장::66p,[여러 품사 뒤에 접속하는 문형],～としても,~라고 해도,部屋を片付けたとしても、また散らかしてしまうと思います。,"방을 정리했다고 해도, 또 어질러 놓을 거라고 생각합니다。",部屋[へや]を片付[かたづ]けたとしても、また散[ちら]かしてしまうと思[おも]います。
JLPT_N3_암기장::66p,[여러 품사 뒤에 접속하는 문형],～としても,~라고 해도,たとえ困難だとしても最初から諦めてはいけません。,만약 곤란하다고 해도 처음부터 포기해서는 안 됩니다。,たとえ困難[こんなん]だとしても最初[さいしょ]から諦[あきら]めてはいけません。
JLPT_N3_암기장::66p,[여러 품사 뒤에 접속하는 문형],～としても,~라고 해도,怪しかったとしても理由もなく人を疑うことはよくない。,수상했다고 해도 이유 없이 사람을 의심하는 것은 좋지 않다。,怪[あや]しかったとしても理由[りゆう]もなく人[ひと]を疑[うたが]うことはよくない。
JLPT_N3_암기장::66p,[여러 품사 뒤에 접속하는 문형],～としても,~라고 해도,もし事実だとしても信じたくない。,만약 사실이라고 해도 믿고 싶지 않다。,もし事実[じじつ]だとしても信[しん]じたくない。
JLPT_N3_암기장::66p,[여러 품사 뒤에 접속하는 문형],～とは限らない,~라고 할 수는 없다,必ずしも勝つとは限りません。,반드시 이긴다고 단정지을 수 없습니다。,必[かなら]ずしも勝[か]つとは限[かぎ]りません。
JLPT_N3_암기장::66p,[여러 품사 뒤에 접속하는 문형],～とは限らない,~라고 할 수는 없다,いつも笑っているからといってその人が幸せだとは限らない。,항상 웃고 있다고 해서 그 사람이 행복하다고 단정지을 수 없다。,いつも笑[わら]っているからといってその人[ひと]が幸[しあわ]せだとは限[かぎ]らない。
JLPT_N3_암기장::66p,[여러 품사 뒤에 접속하는 문형],～とは限らない,~라고 할 수는 없다,小学校から同じクラスだからといって親しいとは限りません。,초등학교부터 같은 반이었다고 해도 친하다고는 단정지을 수 없습니다。,小学校[しょうがっこう]から同[おな]じクラスだからといって親[した]しいとは限[かぎ]りません。
JLPT_N3_암기장::66p,[여러 품사 뒤에 접속하는 문형],～とは限らない,~라고 할 수는 없다,姉は３歳からピアノを習っていますが彼女の意思とは限らない。,누나는 3살 때부터 피아노를 배우고 있지만 그녀의 의사라고는 단정지을 수 없다。,姉[あね]は３歳[さんさい]からピアノ[ぴあの]を習[なら]っていますが彼女[かのじょ]の意思[いし]とは限[かぎ]らない。
JLPT_N3_암기장::66p,[여러 품사 뒤에 접속하는 문형],～うえに,~데다가,友達は宿題を早く終わらせたうえに、私の宿題も手伝ってくれた。,"친구는 숙제를 빨리 끝낸 데다가, 내 숙제도 도와주었다。",友達[ともだち]は宿題[しゅくだい]を早[はや]く終[お]わらせたうえに、私[わたし]の宿題[しゅくだい]も手伝[てつだ]ってくれた。
JLPT_N3_암기장::66p,[여러 품사 뒤에 접속하는 문형],～うえに,~데다가,あの魚は巨大なうえにめずらしいので高く売れた。,저 물고기는 거대한 데다가 희귀하기 때문에 비싸게 팔렸다。,あの魚[さかな]は巨大[きょだい]なうえにめずらしいので高[たか]く売[う]れた。
JLPT_N3_암기장::66p,[여러 품사 뒤에 접속하는 문형],～うえに,~데다가,この仕事は危ないうえに、給料も安いのでやりたくない。,"이 일은 위험한 데다가, 급료도 싸기 때문에 하고 싶지 않다。",この仕事[しごと]は危[あぶ]ないうえに、給料[きゅうりょう]も安[やす]いのでやりたくない。
JLPT_N3_암기장::66p,[여러 품사 뒤에 접속하는 문형],～うえに,~데다가,厳しい訓練であるうえに休憩時間も少なく、みんな疲れていた。,"엄한 훈련인 데다가 휴식 시간도 적어, 모두 지쳐 있었다。",厳[きび]しい訓練[くんれん]であるうえに休憩時間[きゅうけいじかん]も少[すく]なく、みんな疲[つか]れていた。
JLPT_N3_암기장::67p,[여러 품사 뒤에 접속하는 문형],～かわりに,~대신에,私が洗濯物をたたむかわりにあなたはお皿を洗ってね。,내가 빨래를 개는 대신에 너는 접시를 씻어줘。,私[わたし]が洗濯物[せんたくもの]をたたむかわりにあなた[あなた]はお皿[さら]を洗[あら]ってね。
JLPT_N3_암기장::67p,[여러 품사 뒤에 접속하는 문형],～かわりに,~대신에,人前で話すのが苦手なかわりに文章を書くことは得意です。,사람들 앞에서 이야기하는 것이 서투른 대신에 글을 쓰는 것은 잘합니다。,人前[ひとまえ]で話[はな]すのが苦手[にがて]なかわりに文章[ぶんしょう]を書くことは得意[とくい]です。
JLPT_N3_암기장::67p,[여러 품사 뒤에 접속하는 문형],～かわりに,~대신에,このお店はアクセスが悪いかわりに、味は最高なんですよ。,"이 가게는 접근성이 나쁜 대신에, 맛은 최고입니다。",このお店[おみせ]はアクセス[あくせす]が悪[わる]いかわりに、味[あじ]は最高[さいこう]なんですよ。
JLPT_N3_암기장::67p,[여러 품사 뒤에 접속하는 문형],～かわりに,~대신에,私のかわりに山本さんが発表する予定です。,나 대신에 야마모토 씨가 발표할 예정입니다。,私[わたし]のかわりに山本[やまもと]さんが発表[はっぴょう]する予定[よてい]です。
JLPT_N3_암기장::67p,[여러 품사 뒤에 접속하는 문형],～からといって,"~라고 해서, ~라고 하더라도",失敗したからといってあきらめる必要はない。,실패했다고 해서 포기할 필요는 없다。,失敗[しっぱい]したからといってあきらめる必要[ひつよう]はない。
JLPT_N3_암기장::67p,[여러 품사 뒤에 접속하는 문형],～からといって,"~라고 해서, ~라고 하더라도",面倒だからといって宿題をしないわけにはいかない。,귀찮다고 해서 숙제를 안 할 수는 없다。,面倒[めんどう]だからといって宿題[しゅくだい]をしないわけにはいかない。
JLPT_N3_암기장::67p,[여러 품사 뒤에 접속하는 문형],～からといって,"~라고 해서, ~라고 하더라도",安いからといって何でも買うのはよくない。,싸다고 해서 뭐든지 사는 것은 좋지 않다。,安[やす]いからといって何[なん]でも買[か]うのはよくない。
JLPT_N3_암기장::67p,[여러 품사 뒤에 접속하는 문형],～からといって,"~라고 해서, ~라고 하더라도",医者だからといってすべての病気は治せない。,의사라고 해서 모든 병을 고칠 수는 없다。,医者[いしゃ]だからといってすべての病気[びょうき]は治[なお]せない。
JLPT_N3_암기장::67p,[여러 품사 뒤에 접속하는 문형],～せいで,"~탓에, ~탓으로",寝坊したせいで、新幹線に乗れなかった。,늦잠을 잔 탓에 신칸센을 못 탔다。,寝坊[ねぼう]したせいで、新幹線[しんかんせん]に乗[の]れなかった。
JLPT_N3_암기장::67p,[여러 품사 뒤에 접속하는 문형],～せいで,"~탓에, ~탓으로",腹の中が空いていないせいで授業に全然集中できない。,배가 고프지 않은 탓에 수업에 전혀 집중할 수 없다。,腹[はら]の中[なか]が空[す]いていないせいで授業[じゅぎょう]に全然[ぜんぜん]集中[しゅうちゅう]できない。
JLPT_N3_암기장::67p,[여러 품사 뒤에 접속하는 문형],～せいで,"~탓에, ~탓으로",気候がおかしいせいで突然暑くなったり寒くなったりする。,기후가 이상한 탓에 갑자기 더워졌다가 추워졌다가 한다。,気候[きこう]がおかしいせいで突然[とつぜん]暑[あつ]くなったり寒[さむ]くなったりする。
JLPT_N3_암기장::67p,[여러 품사 뒤에 접속하는 문형],～せいで,"~탓에, ~탓으로",少ない予算のせいで買いたかったプレゼントが買えなかった。,적은 예산 탓에 사고 싶었던 선물을 못 샀다。,少[すく]ない予算[よさん]のせいで買[か]いたかったプレゼント[ぷれぜんと]が買[か]えなかった。
JLPT_N3_암기장::68p,[여러 품사 뒤에 접속하는 문형],～ことに,~마다,パンが焼けることに、すぐお店に出して売っています。,"빵이 구워질 때마다, 바로 가게에 내서 팔고 있습니다。",パン[ぱん]が焼[や]けることに、すぐお店[みせ]に出[だ]して売[う]っています。
JLPT_N3_암기장::68p,[여러 품사 뒤에 접속하는 문형],～ことに,~마다,あのめざまし時計は10分ごとに鳴るようにしておきました。,저 알람 시계는 10분마다 울리도록 해 두었습니다。,あのめざまし時計[どけい]は10分[じゅっぷん]ごとに鳴[な]るようにしておきました。
JLPT_N3_암기장::68p,[여러 품사 뒤에 접속하는 문형],～最中に,~한창 ~하는 중에,勉強をしている最中に停電した。,한창 공부를 하는 중에 정전됐다。,勉強[べんきょう]をしている最中[さいちゅう]に停電[ていでん]した。
JLPT_N3_암기장::68p,[여러 품사 뒤에 접속하는 문형],～最中に,~한창 ~하는 중에,商品の輸送の最中に問題が発生したと会社から連絡が来た。,상품의 운송 중에 문제가 발생했다고 회사에서 연락이 왔다。,商品[しょうひん]の輸送[ゆそう]の最中[さいちゅう]に問題[もんだい]が発生[はっせい]したと会社[かいしゃ]から連絡[れんらく]が来[き]た。
JLPT_N3_암기장::68p,[여러 품사 뒤에 접속하는 문형],～くせに,~주제에,彼は遅れてきたくせに、席が悪いと文句を言った。,"그는 늦게 온 주제에, 자리가 나쁘다고 불만을 말했다。",彼[かれ]は遅[おく]れてきたくせに、席[せき]が悪[わる]いと文句[もんく]を言[い]った。
JLPT_N3_암기장::68p,[여러 품사 뒤에 접속하는 문형],～くせに,~주제에,自分も嫌なくせに、他の人にその仕事をやらせた。,"자신도 싫어하는 주제에, 다른 사람에게 그 일을 시켰다。",自分[じぶん]も嫌[いや]なくせに、他[ほか]の人[ひと]にその仕事[しごと]をやらせた。
JLPT_N3_암기장::68p,[여러 품사 뒤에 접속하는 문형],～たびに,~(할) 때마다,親に会うたびに、「いつ結婚するの」と聞かれるのがいやだ。,"부모님을 만날 때마다, '언제 결혼하니?'라고 듣는 것이 싫다。",親[おや]に会[あ]うたびに、「いつ結婚[けっこん]するの」と聞[き]かれるのがいやだ。
JLPT_N3_암기장::68p,[여러 품사 뒤에 접속하는 문형],～たびに,~(할) 때마다,事件の解決のたびにニュースで大きく取り上げられる。,사건 해결 때마다 뉴스에서 크게 거론된다。,事件[じけん]の解決[かいけつ]のたびにニュース[にゅーす]で大[おお]きく取[と]り上[あ]げられる。
JLPT_N3_암기장::68p,[여러 품사 뒤에 접속하는 문형],～ために,~위해서,野菜をおいしく育てるためには水と太陽と土が必要です。,채소를 맛있게 키우기 위해서는 물과 태양과 흙이 필요합니다。,野菜[やさい]をおいしく育[そだ]てるためには水[みず]と太陽[たいよう]と土[つち]が必要[ひつよう]です。
JLPT_N3_암기장::68p,[여러 품사 뒤에 접속하는 문형],～ために,~위해서,世界平和のために国際会議が開かれる。,세계 평화를 위해서 국제회의가 열린다。,世界平和[せかいへいわ]のために国際会議[こくさいかいぎ]が開[ひら]かれる。
JLPT_N3_암기장::68p,[여러 품사 뒤에 접속하는 문형],～ために,~위해서,これ以上子供を減らさないために政府は対策をすべきです。,이 이상 아이를 줄지 않게 하기 위해서 정부는 대책을 세워야 합니다。,これ以上[いじょう]子供[こども]を減[へ]らさないために政府[せいふ]は対策[たいさく]をすべきです。
JLPT_N3_암기장::69p,[여러 품사 뒤에 접속하는 문형],～ついでに,~하는 김에,郵便局に行くついでに本屋によって雑誌を買って来てくれない？,우체국에 가는 김에 서점에 들러서 잡지를 사 와 주지 않을래?,郵便局[ゆうびんきょく]に行[い]くついでに本屋[ほんや]によって雑誌[ざっし]を買[か]って来[き]てくれない？
JLPT_N3_암기장::69p,[여러 품사 뒤에 접속하는 문형],～ついでに,~하는 김에,誕生日のお祝いのついでに就職のお祝いもしましょう。,생일 축하하는 김에 취직 축하도 합시다。,誕生日[たんじょうび]のお祝い[おいわい]のついでに就職[しゅうしょく]のお祝い[おいわい]もしましょう。
JLPT_N3_암기장::69p,[여러 품사 뒤에 접속하는 문형],～とおりに,~대로,私の言うとおりにしてください。,제 말하는 대로 해주세요。,私[わたし]の言[い]うとおりにしてください。
JLPT_N3_암기장::69p,[여러 품사 뒤에 접속하는 문형],～とおりに,~대로,覚えたとおりに一度やってみましょう。,외운 대로 한 번 해 봅시다。,覚[おぼ]えたとおりに一度[いちど]やってみましょう。
JLPT_N3_암기장::69p,[여러 품사 뒤에 접속하는 문형],～とおりに,~대로,説明書のとおりに組み立てたら簡単に完成しました。,설명서대로 조립했더니 간단히 완성했습니다。,説明書[せつめいしょ]のとおりに組[く]み立[た]てたら簡単[かんたん]に完成[かんせい]しました。
JLPT_N3_암기장::69p,[여러 품사 뒤에 접속하는 문형],～とおりに,~대로,普段どおりに早く寝ようとしたが、昨日はなかなか眠れなかった。,"평소대로 빨리 자려고 했지만, 어제는 좀처럼 잘 수 없었다。",普段[ふだん]どおりに早[はや]く寝[ね]ようとしたが、昨日[きのう]はなかなか眠[ねむ]れなかった。
JLPT_N3_암기장::69p,[여러 품사 뒤에 접속하는 문형],～とともに,"~와 함께, ~와 동시에",健康になるとともに体力もついた。,건강해짐과 함께 체력도 붙었다。,健康[けんこう]になるとともに体力[たいりょく]もついた。
JLPT_N3_암기장::69p,[여러 품사 뒤에 접속하는 문형],～とともに,"~와 함께, ~와 동시에",町の発展とともに引っ越してくる人が増えた。,마을의 발전과 함께 이사해 오는 사람이 늘었다。,町[まち]の発展[はってん]とともに引[ひ]っ越[こ]してくる人[ひと]が増[ふ]えた。
JLPT_N3_암기장::69p,[여러 품사 뒤에 접속하는 문형],～うちに,"~하는 동안에, ~일 때",英語を学ぶうちに留学に興味を持つようになった。,영어를 배우는 동안에 유학에 흥미를 가지게 되었다。,英語[えいご]を学[まな]ぶうちに留学[りゅうがく]に興味[きょうみ]を持[も]つようになった。
JLPT_N3_암기장::69p,[여러 품사 뒤에 접속하는 문형],～うちに,"~하는 동안에, ~일 때",祖父が元気なうちにたくさん会いに行くつもりだ。,할아버지가 건강하신 동안에 많이 만나러 갈 생각이다。,祖父[そふ]が元気[げんき]なうちにたくさん会[あ]いに行[い]くつもりだ。
JLPT_N3_암기장::69p,[여러 품사 뒤에 접속하는 문형],～うちに,"~하는 동안에, ~일 때",料理は熱いうちに食べたほうがおいしいです。,요리는 뜨거울 때 먹는 편이 맛있습니다。,料理[りょうり]は熱[あつ]いうちに食[た]べたほうがおいしいです。
JLPT_N3_암기장::69p,[여러 품사 뒤에 접속하는 문형],～うちに,"~하는 동안에, ~일 때",学生のうちに一人で旅行してみたいです。,학생일 때 혼자서 여행해 보고 싶습니다。,学生[がくせい]のうちに一人[ひとり]で旅行[りょこう]してみたいです。
JLPT_N3_암기장::69p,[여러 품사 뒤에 접속하는 문형],～うちに,"~하는 동안에, ~일 때",忘れないうちに、みんなに連絡しておきましょう。,"잊어버리기 전에, 모두에게 연락해 둡시다。",忘[わす]れないうちに、みんなに連絡[れんらく]しておきましょう。
JLPT_N3_암기장::70p,[여러 품사 뒤에 접속하는 문형],～にしても,"~라고 해도, ~인 경우에도",遊ぶにしても宿題を済ませないと遊びに行けません。,놀러 간다고 해도 숙제를 끝내지 않으면 놀러 갈 수 없습니다。,遊[あそ]ぶにしても宿題[しゅくだい]を済[す]ませないと遊[あそ]びに行[い]けません。
JLPT_N3_암기장::70p,[여러 품사 뒤에 접속하는 문형],～にしても,"~라고 해도, ~인 경우에도",数学が苦手であるにしてもこれくらいの問題は解けます。,수학을 잘 못한다고 해도 이 정도의 문제는 풀 수 있습니다。,数学[すうがく]が苦手[にがて]であるにしてもこれくらいの問題[もんだい]は解[と]けます。
JLPT_N3_암기장::70p,[여러 품사 뒤에 접속하는 문형],～にしても,"~라고 해도, ~인 경우에도",安いにしても、今はお金がなくて買えません。,"싸다고 해도, 지금은 돈이 없어서 살 수 없습니다。",安[やす]いにしても、今[いま]はお金[かね]がなくて買[か]えません。
JLPT_N3_암기장::70p,[여러 품사 뒤에 접속하는 문형],～にしても,"~라고 해도, ~인 경우에도",休日にしても今日のデパートは人が多すぎるんじゃないかな。,휴일이라고 해도 오늘 백화점은 사람이 너무 많은 것 같아요。,休日[きゅうじつ]にしても今日[きょう]のデパート[でぱーと]は人[ひと]が多[おお]すぎるんじゃないかな。
JLPT_N3_암기장::70p,[여러 품사 뒤에 접속하는 문형],～にしては,~치고는,練習したにしては結果があまりよくなかった。,연습한 것치고는 결과가 별로 좋지 않았다。,練習[れんしゅう]したにしては結果[けっか]があまりよくなかった。
JLPT_N3_암기장::70p,[여러 품사 뒤에 접속하는 문형],～にしては,~치고는,彼ははじめにしては遅刻が多い。,그는 처음인데 치고는 지각이 많다。,彼[かれ]ははじめにしては遅刻[ちこく]が多[おお]い。
JLPT_N3_암기장::70p,[여러 품사 뒤에 접속하는 문형],～にしては,~치고는,このコップは小さいにしては重い。,이 컵은 작지만 치고는 무겁다。,このコップ[こっぷ]は小[ちい]さいにしては重[おも]い。
JLPT_N3_암기장::70p,[여러 품사 뒤에 접속하는 문형],～にしては,~치고는,人生初めての面接にしては、全く緊張しなかった。,인생 첫 면접 치고는 전혀 긴장하지 않았다。,人生[じんせい]初[はじ]めての面接[めんせつ]にしては、全[まった]く緊張[きんちょう]しなかった。
JLPT_N3_암기장::70p,[여러 품사 뒤에 접속하는 문형],～につれ,~(함)에 따라,発表する日が近づくにつれ緊張してきました。,발표하는 날이 가까워질수록 긴장되었습니다。,発表[はっぴょう]する日[ひ]が近[ちか]づくにつれ緊張[きんちょう]してきました。
JLPT_N3_암기장::70p,[여러 품사 뒤에 접속하는 문형],～につれ,~(함)에 따라,時代の変化につれ、人も言葉も変わっていく。,시대 변화에 따라 사람도 말도 변해 간다。,時代[じだい]の変化[へんか]につれ、人[ひと]も言葉[ことば]も変[か]わっていく。
JLPT_N3_암기장::70p,[여러 품사 뒤에 접속하는 문형],～場合,~인 경우,電話番号が変わった場合は新しい番号を教えてくださいね。,전화번호가 바뀐 경우에는 새로운 번호를 알려 주세요。,電話番号[でんわばんごう]が変[か]わった場合[ばあい]は新[あたら]しい番号[ばんごう]を教[おし]えてくださいね。
JLPT_N3_암기장::70p,[여러 품사 뒤에 접속하는 문형],～場合,~인 경우,受験のことで不安な場合はいつでも相談にきていいですよ。,입시에 대해 불안한 경우에는 언제든 상담하러 와도 됩니다。,受験[じゅけん]のことで不安[ふあん]な場合[ばあい]はいつでも相談[そうだん]にきていいですよ。
JLPT_N3_암기장::70p,[여러 품사 뒤에 접속하는 문형],～場合,~인 경우,何度注意しても守らない場合は、警察に連絡します。,아무리 주의를 줘도 지키지 않는 경우에는 경찰에 연락합니다。,何度[なんど]注意[ちゅうい]しても守[まも]らない場合[ばあい]は、警察[けいさつ]に連絡[れんらく]します。
JLPT_N3_암기장::70p,[여러 품사 뒤에 접속하는 문형],～場合,~인 경우,火事、地震など、非常の場合には、階段を利用してください。,"화재, 지진 등 비상 상황의 경우에는 계단을 이용해 주세요。",火事[かじ]、地震[じしん]など、非常[ひじょう]の場合[ばあい]には、階段[かいだん]を利用[りよう]してください。
JLPT_N3_암기장::71p,[여러 품사 뒤에 접속하는 문형],～ほか,~외에,風邪予防には人の多い場所を避けるほかに、手を洗うのが大切だ。,"감기 예방을 위해 사람이 많은 장소를 피하는 것 외에, 손을 씻는 것이 중요하다。",風邪予防[かぜよぼう]には人[ひと]の多[おお]い場所[ばしょ]を避[さ]けるほかに、手[て]を洗[あら]うのが大切[たいせつ]だ。
JLPT_N3_암기장::71p,[여러 품사 뒤에 접속하는 문형],～ほか,~외에,日本は家では靴を脱ぐのが一般的だが、床に座るのも一般的だ。,"일본에서는 집에서 신발을 벗는 것이 일반적이지만, 바닥에 앉는 것도 일반적이다。",日本[にほん]は家[いえ]では靴[くつ]を脱[ぬ]ぐのが一般的[いっぱんてき]だが、床[ゆか]に座[すわ]るのも一般的[いっぱんてき]だ。
JLPT_N3_암기장::71p,[여러 품사 뒤에 접속하는 문형],～ほか,~외에,ここは駅から近いほかにメリットがない。,여기는 역에서 가까운 것 외에 장점이 없다。,ここは駅[えき]から近[ちか]いほかにメリット[めりっと]がない。
JLPT_N3_암기장::71p,[여러 품사 뒤에 접속하는 문형],～ほか,~외에,急激に上昇した物価のほか、税金も上がって生活は苦しくなった。,급격히 상승한 물가 외에도 세금도 올라서 생활이 어려워졌다。,急激[きゅうげき]に上昇[じょうしょう]した物価[ぶっか]のほか、税金[ぜいきん]も上[あ]がって生活[せいかつ]は苦[くる]しくなった。
JLPT_N3_암기장::71p,[여러 품사 뒤에 접속하는 문형],～前に,~전에,食事をする前に手を洗いましょう。,식사하기 전에 손을 씻읍시다。,食事[しょくじ]をする前[まえ]に手[て]を洗[あら]いましょう。
JLPT_N3_암기장::71p,[여러 품사 뒤에 접속하는 문형],～前に,~전에,面接の準備の前にまずは筆記試験に合格することが大切です。,면접 준비를 하기 전에 우선 필기 시험에 합격하는 것이 중요하다。,面接[めんせつ]の準備[じゅんび]の前[まえ]にまずは筆記試験[ひっきしけん]に合格[ごうかく]することが大切[たいせつ]です。
JLPT_N3_암기장::71p,[여러 품사 뒤에 접속하는 문형],～まま,"~한 채, ~대로",テレビをつけたまま、寝てしまった。,텔레비전을 켠 채로 잠들어 버렸다。,テレビ[てれび]をつけたまま、寝[ね]てしまった。
JLPT_N3_암기장::71p,[여러 품사 뒤에 접속하는 문형],～まま,"~한 채, ~대로",出かけた息子が帰って来なくて心配なまま一日を過ごした。,외출한 아들이 돌아오지 않아서 걱정된 채로 하루를 보냈다。,出[で]かけた息子[むすこ]が帰[かえ]って来[こ]なくて心配[しんぱい]なまま一日[いちにち]を過[す]ごした。
JLPT_N3_암기장::71p,[여러 품사 뒤에 접속하는 문형],～まま,"~한 채, ~대로",何度洗濯してもその靴下は臭いままだった。,아무리 세탁해도 그 양말은 여전히 냄새가 났다。,何度[なんど]洗濯[せんたく]してもその靴下[くつした]は臭[くさ]いままだった。
JLPT_N3_암기장::71p,[여러 품사 뒤에 접속하는 문형],～まま,"~한 채, ~대로",彼女は外国人と結婚したが、国籍は日本のままです。,그녀는 외국인과 결혼했지만 국적은 여전히 일본이다。,彼女[かのじょ]は外国人[がいこくじん]と結婚[けっこん]したが、国籍[こくせき]は日本[にほん]のままです。
JLPT_N3_암기장::71p,[여러 품사 뒤에 접속하는 문형],～わりに,~에 비해서,いつもお金がないって言ってるわりに、よく旅行に行くね。,항상 돈이 없다고 말하는 것에 비해서 자주 여행을 가네。,いつもお金[かね]がないって言[い]ってるわりに、よく旅行[りょこう]に行[い]くね。
JLPT_N3_암기장::71p,[여러 품사 뒤에 접속하는 문형],～わりに,~에 비해서,あの山道は坂が急なわりに意外と歩きやすいです。,저 산길은 경사가 가파른 것에 비해서 의외로 걷기 쉽습니다。,あの山道[さんどう]は坂[さか]が急[きゅう]なわりに意外[いがい]と歩[ある]きやすいです。
JLPT_N3_암기장::71p,[여러 품사 뒤에 접속하는 문형],～わりに,~에 비해서,友達は頭がいいわりに成績はよくないらしい。,친구는 머리가 좋은 것에 비해서 성적은 좋지 않은 것 같다。,友達[ともだち]は頭[あたま]がいいわりに成績[せいせき]はよくないらしい。
JLPT_N3_암기장::71p,[여러 품사 뒤에 접속하는 문형],～わりに,~에 비해서,あの二人は姉妹のわりに顔も性格も似ていない。,저 두 사람은 자매인 것에 비해서 얼굴도 성격도 닮지 않았다。,あの二人[ふたり]は姉妹[しまい]のわりに顔[かお]も性格[せいかく]も似[に]ていない。
JLPT_N3_암기장::72p,[여러 품사 뒤에 접속하는 문형],～おかげだ,~덕분이다,外国人の友達がたくさんいるのは、海外で暮らしていたおかげだ。,외국인 친구가 많은 것은 해외에서 생활했던 덕분이다。,外国人[がいこくじん]の友達[ともだち]がたくさんいるのは、海外[かいがい]で暮[く]らしていたおかげだ。
JLPT_N3_암기장::72p,[여러 품사 뒤에 접속하는 문형],～おかげだ,~덕분이다,いろいろな場所に旅行に行けるのは、運転ができるおかげだ。,여러 장소에 여행을 갈 수 있는 것은 운전이 가능한 덕분이다。,いろいろな場所[ばしょ]に旅行[りょこう]に行[い]けるのは、運転[うんてん]ができるおかげだ。
JLPT_N3_암기장::72p,[여러 품사 뒤에 접속하는 문형],～おかげだ,~덕분이다,今日、かばんが軽いのは、いつもより授業が少ないおかげだ。,오늘 가방이 가벼운 것은 평소보다 수업이 적은 덕분이다。,今日[きょう]、かばんが軽[かる]いのは、いつもより授業[じゅぎょう]が少[すく]ないおかげだ。
JLPT_N3_암기장::72p,[여러 품사 뒤에 접속하는 문형],～おかげだ,~덕분이다,子供が無事だったのはあなたのおかげです。,아이가 무사한 것은 당신 덕분입니다。,子供[こども]が無事[ぶじ]だったのはあなたのおかげです。
JLPT_N3_암기장::72p,[여러 품사 뒤에 접속하는 문형],～かもしれない,~일지도 모른다,犯人は事件現場にまた現れるかもしれない。,범인은 사건 현장에 다시 나타날지도 모른다。,犯人[はんにん]は事件[じけん]現場[げんば]にまた現[あら]れるかもしれない。
JLPT_N3_암기장::72p,[여러 품사 뒤에 접속하는 문형],～かもしれない,~일지도 모른다,彼は料理が下手かもしれない。,그는 요리가 서툴지도 모른다。,彼[かれ]は料理[りょうり]が下手[へた]かもしれない。
JLPT_N3_암기장::72p,[여러 품사 뒤에 접속하는 문형],～かもしれない,~일지도 모른다,思ったより面白いかもしれない。,생각보다 재미있을지도 몰라。,思[おも]ったより面白[おもしろ]いかもしれない。
