한자형태,요미가나,한자[요미가나],한글뜻,연도
燃える,もえる,燃[も]える,타다,2017
折れる,おれる,折[お]れる,"부러지다, 꺾이다",2016
観客,かんきゃく,観[かん]客[きゃく],관객,2016
共通,きょうつう,共[きょう]通[つう],공통,2016
加える,くわえる,加[くわ]える,"더하다, 보태다",2016
訓練,くんれん,訓[くん]練[れん],훈련,2016
個人,こじん,個[こ]人[じん],개인,2016
税金,ぜいきん,税[ぜい]金[きん],세금,2016
到着,とうちゃく,到[とう]着[ちゃく],도착,2016
独立,どくりつ,独[どく]立[りつ],독립,2016
努力,どりょく,努[ど]力[りょく],노력,2016
測る,はかる,測[はか]る,"재다, 달다",2016
払う,はらう,払[はら]う,"내다, 지불하다",2016
方向,ほうこう,方[ほう]向[こう],방향,2016
豆,まめ,豆[まめ],콩,2016
丸い,まるい,丸[まる]い,둥글다,2016
申し込む,もうしこむ,申[もう]し込[こ]む,신청,2016
,,,,
表す,あらわす,表[あらわ]す,나타내다,2015
美しい,うつくしい,美[うつく]しい,아름답다,2015
首,くび,首[くび],목,2015
経営学,けいえいがく,経[けい]営[えい]学[がく],경영학,2015
血液型,けつえきがた,血[けつ]液[えき]型[がた],혈액형,2015
支給,しきゅう,支[し]給[きゅう],지급,2015
想像,そうぞう,想[そう]像[ぞう],상상,2015
朝食,ちょうしょく,朝[ちょう]食[しょく],"조식, 아침 식사",2015
伝える,つたえる,伝[つた]える,전하다,2015
荷物,にもつ,荷[に]物[もつ],"짐, 화물",2015
分類,ぶんるい,分[ぶん]類[るい],분류,2015
平均,へいきん,平[へい]均[きん],평균,2015
変化,へんか,変[へん]化[か],변화,2015
干す,ほす,干[ほ]す,말리다,2015
湖,みずうみ,湖[みずうみ],호수,2015
汚れる,よごれる,汚[よご]れる,더러워지다,2015
相手,あいて,相[あい]手[て],상대,2014
厚い,あつい,厚[あつ]い,두껍다,2014
一般的だ,いっぱんてきだ,一[いっ]般[ぱん]的[てき]だ,일반적이다,2014
応用,おうよう,応[おう]用[よう],응용,2014
覚える,おぼえる,覚[おぼ]える,"기억하다, 외우다",2014
替える,かえる,替[か]える,"바꾸다, 교환하다",2014
検査,けんさ,検[けん]査[さ],검사,2014
広告,こうこく,広[こう]告[こく],광고,2014
呼吸,こきゅう,呼[こ]吸[きゅう],호흡,2014
自然,しぜん,自[し]然[ぜん],자연,2014
集中,しゅうちゅう,集[しゅう]中[ちゅう],집중,2014
商業,しょうぎょう,商[しょう]業[ぎょう],상업,2014
食器,しょっき,食[しょっ]器[き],식기,2014
大会,たいかい,大[たい]会[かい],대회,2014
横,よこ,横[よこ],"옆, 가로",2014
割れる,われる,割[わ]れる,"갈라지다, 깨지다",2014
浅い,あさい,浅[あさ]い,얕다,2013
改札,かいさつ,改[かい]札[さつ],개찰(구),2013
各地,かくち,各[かく]地[ち],각지,2013
苦しい,くるしい,苦[くる]しい,"괴롭다, 난처하다",2013
事情,じじょう,事[じ]情[じょう],사정,2013
実力,じつりょく,実[じつ]力[りょく],실력,2013
出張,しゅっちょう,出[しゅっ]張[ちょう],출장,2013
席,せき,席[せき],자리,2013
選手,せんしゅ,選[せん]手[しゅ],선수,2013
貯金,ちょきん,貯[ちょ]金[きん],저금,2013
通知,つうち,通[つう]知[ち],통지,2013
根,ね,根[ね],뿌리,2013
生える,はえる,生[は]える,"(털, 머리 등)이 나다",2012
文章,ぶんしょう,文[ぶん]章[しょう],문장,2012
留守,るす,留[る]守[す],부재중,2012
